Original Comment,Cleaned Comment,VADER Sentiment,Hugging Face Sentiment
"Whatever you may think, feel, or believe about Donald Trump being shot at, the one thing that can be said definitively is that Donald Trump was not shot. Whenever the human body gets shot, the offending bullet leaves unmistakable and irrefutable evidence of its offense. 100% of the time. Donald Trump was merely &quot;shot at&quot; with the bullet, or possibly just &quot;bullet fragments,&quot; only grazing the tippy-top of his ear. There was no bullet wound at the time of the incident and there is not currently any scar tissue because Donald Trump was not shot. Also, a medical record about Donald Trump&#39;s &quot;gunshot wound&quot; has never been produced to the public because, again, Donald Trump was never shot.",whatever may think feel believe donald trump shot one thing said definitively donald trump shot whenever human body gets shot offending bullet leaves unmistakable irrefutable evidence offense time donald trump merely quotshot atquot bullet possibly quotbullet fragmentsquot grazing tippytop ear bullet wound time incident currently scar tissue donald trump shot also medical record donald trumps quotgunshot woundquot never produced public donald trump never shot,Negative,NEGATIVE
Team trump be safe we all hope ur ok bye love u❤,team trump safe hope ur ok bye love u,Positive,POSITIVE
Is so fake that is almost look like a low budget movies with a cheap script,fake almost look like low budget movies cheap script,Negative,NEGATIVE
Thank you shinzo abe,thank shinzo abe,Positive,POSITIVE
"Donald, Duck!",donald duck,Neutral,POSITIVE
"trump claimed blood was gushing out of his ear and his hands were filled with blood.  We can clearly see this is not true.  No blood pouring out of his wound or filling both hands.  No scar 10 or so days later.  No hospital reports released, why?  All he did was yell at the SS to get his shoes back on and to let him stand for a photo op.  He cannot stand with those lifts in his shoes without tilting forward, so he takes off his shoes.  The SS mandate---shown when Reagan and Ford were shot at, is to keep the head of the person they are protecting  waist high as they surround him/her. trump felt safe enough to stand tall and raise his fist.  Why?  Sound fishy to anyone else?",trump claimed blood gushing ear hands filled blood clearly see true blood pouring wound filling hands scar days later hospital reports released yell ss get shoes back let stand photo op stand lifts shoes without tilting forward takes shoes ss mandateshown reagan ford shot keep head person protecting waist high surround himher trump felt safe enough stand tall raise fist sound fishy anyone else,Positive,NEGATIVE
Thank you trump for everything god protected him that day!✝️🙏❤️!,thank trump everything god protected day,Positive,POSITIVE
Anyone who says this was staged is an agent of Satan and cannot be trusted.,anyone says staged agent satan trusted,Positive,NEGATIVE
&quot;The most American words ever spoken&quot; I&#39;ve never been so proud to cast my vote as I am this time.,quotthe american words ever spokenquot ive never proud cast vote time,Negative,NEGATIVE
no way they holding &#39; you&#39;re fired&#39; signs 😆,way holding youre fired signs,Negative,NEGATIVE
I&#39;m not a Trump supporter but holy shit that is so badass how he reacted to it afterwards,im trump supporter holy shit badass reacted afterwards,Negative,NEGATIVE
That’s my PRES YOOOOO! 2024!!!🎆🇺🇸🦅🎇,thats pres yooooo,Neutral,NEGATIVE
So obviously fake.,obviously fake,Negative,NEGATIVE
Yay,yay,Positive,POSITIVE
He was shot yet no one behind him was hit? Sus,shot yet one behind hit sus,Neutral,POSITIVE
trump 2024,trump,Neutral,POSITIVE
Powerful,powerful,Positive,POSITIVE
I&#39;d die for America = I&#39;d die for Jesus Christ. Proudly,id die america id die jesus christ proudly,Negative,POSITIVE
We almost won the world series,almost world series,Neutral,POSITIVE
"He was shot in the ear and he gets up and yells Fight, Fight, Fight. This man is a leader of leaders.",shot ear gets yells fight fight fight man leader leaders,Negative,NEGATIVE
Still get chills watching it,still get chills watching,Neutral,POSITIVE
Oof,oof,Neutral,NEGATIVE
STAGED.,staged,Neutral,POSITIVE
USA 🇺🇸,usa,Neutral,POSITIVE
Clear script,clear script,Positive,POSITIVE
"Yoo, trump got a sick free ear piercing",yoo trump got sick free ear piercing,Neutral,NEGATIVE
Bro at this point im certain trump has plot armor,bro point im certain trump plot armor,Positive,NEGATIVE
😢😢😢😢😢,,Neutral,Neutral
Those people were so calm in the crowd for their to be a shooting.. Crazy You can see an old vet behind trump standing there and didn’t even flinch,people calm crowd shooting crazy see old vet behind trump standing didnt even flinch,Negative,POSITIVE
Powerful ❤,powerful,Positive,POSITIVE
❤😂,,Neutral,Neutral
Crazy how quickly this was wiped from the news cycle..,crazy quickly wiped news cycle,Negative,NEGATIVE
Did not take your time!!!,take time,Neutral,POSITIVE
Trump gangsta!! 😂😂,trump gangsta,Neutral,POSITIVE
"That&#39;s crazy why didn&#39;t everybody run, so it had to have been a setup  because if it had been real, every 1 would have scattered, n they would have been out of control",thats crazy didnt everybody run setup real every would scattered n would control,Negative,NEGATIVE
"Most dramatic born again moment on the world stage in US history. Moses when he anointed his brother Aaron as the first high priest of Israel took the lambs blood and placed it on the right ear of Aaron. Then also on his feet. Trump lost his shoes during this attempt, so it&#39;s quite possible he also got at least a spot of blood on his feet. (There&#39;s a lot more to this story if your interested. Look up Jonathan Can) Jesus Christ is our only hope to turn our country around and I believe God gave us Trump as a leader to help us come back to Him and turn our face away from evil.... The Democrat leaders have set themselves up against the Most High and I think God has settled for the republican party to (Lord Willing) bring us back to being a United Christian Nation. We must repent, and seek God&#39;s face, and turn from every wicked way. Then God will hear from Heaven, forgive our sin, and heal our land. All Praise, Glory, and Honor to Jesus Christ the one True Son of God and our only way,  to avoid hell forever and live with Him in heaven always. Jesus Christ is the narrow door by which we must enter. This is for all who read it and I simply ask that you talk to Him. (Jesus Christ) Honestly everyday and be washed by the Word of God<br> Jesus Christ. The Bible. Most importantly give Christ your heart and life. He will make you a new creation.<br><br>Oh and get yourself in a Bible believing church.... Ok Godbless😊❤",dramatic born moment world stage us history moses anointed brother aaron first high priest israel took lambs blood placed right ear aaron also feet trump lost shoes attempt quite possible also got least spot blood feet theres lot story interested look jonathan jesus christ hope turn country around believe god gave us trump leader help us come back turn face away evil democrat leaders set high think god settled republican party lord willing bring us back united christian nation must repent seek gods face turn every wicked way god hear heaven forgive sin heal land praise glory honor jesus christ one true son god way avoid hell forever live heaven always jesus christ narrow door must enter read simply ask talk jesus christ honestly everyday washed word godbr jesus christ bible importantly give christ heart life make new creationbrbroh get bible believing church ok godbless,Positive,NEGATIVE
How can u miss that head,u miss head,Negative,NEGATIVE
God bless our president trump long line in order obey,god bless president trump long line order obey,Positive,POSITIVE
Love you jesus,love jesus,Positive,POSITIVE
✊🏼✊🏼✊🏼🇺🇸🇺🇸🇺🇸🦅🦅🦅,,Neutral,Neutral
Who do you think will win the elections?,think win elections,Positive,POSITIVE
This moment will go down in history!!!,moment go history,Neutral,POSITIVE
The bravery he showed that day will never be forgotten Trump 2024,bravery showed day never forgotten trump,Positive,POSITIVE
Trump2024,trump,Neutral,POSITIVE
that is actually crazy. this entire world is crazy.,actually crazy entire world crazy,Negative,POSITIVE
"&quot;I walk through the valley of the shadow of death, I will fear no evil&quot; <br><br>Psalm 23:4",quoti walk valley shadow death fear evilquot brbrpsalm,Negative,NEGATIVE
The World&#39;s Most Rookie Sniper,worlds rookie sniper,Neutral,POSITIVE
"This is nagaland not British and India,,, British and India is entering nagaland have shame...",nagaland british india british india entering nagaland shame,Negative,NEGATIVE
"Nagaland is not your country britisher and India,...",nagaland country britisher india,Neutral,NEGATIVE
"This is nagaland not british,,India Know this....",nagaland britishindia know,Neutral,POSITIVE
Set up by trump,set trump,Neutral,POSITIVE
What was on the bullet? He aint right yet.,bullet aint right yet,Neutral,NEGATIVE
Holy sheet balls,holy sheet balls,Neutral,POSITIVE
Fight.. fight..fight.... Rest is history 🇺🇸,fight fightfight rest history,Negative,POSITIVE
Thank you for looking at the camera first Mr Trump you are a great great great great great great great great great great actor,thank looking camera first mr trump great great great great great great great great great great actor,Positive,POSITIVE
"The video doesn&#39;t show his ear actually being hit. All I see here is him go down after some gunfire noises and then when he comes back there&#39;s blood on himself it&#39;s even blood. He or his people could&#39;ve smeared blood on his ear. He could&#39;ve faked this whole thing as a publicity stunt because there is no visible bullet to the ear. There were more than 5 gunshots....this guy seriously missed that many shots but one of them was sooooo close that it grazed his ear? Come on...open your eyes people this shit is fake. As for the guy that died, did he? Maybe he did, maybe the bullets were meant to hit someone rlse. Who honestly knows. I don&#39;t believe someone was trying to kill Trump though. I believe it&#39;s a hoax and he did this so people would feel bad for him. He makes it more obvious by saying they&#39;re trying to kill me but not Kamala because they think I&#39;m dangerous and she&#39;s not! Trump is amazingly good at accidentally revealing things about himself and he already told us what kind of person he is. So I think it&#39;s more rational to conclude his injury is take while sadly the other person is real, but even that could be wrong. It&#39;s corrupt politics, they could be pretending this person died too.",video doesnt show ear actually hit see go gunfire noises comes back theres blood even blood people couldve smeared blood ear couldve faked whole thing publicity stunt visible bullet ear gunshotsthis guy seriously missed many shots one sooooo close grazed ear come onopen eyes people shit fake guy died maybe maybe bullets meant hit someone rlse honestly knows dont believe someone trying kill trump though believe hoax people would feel bad makes obvious saying theyre trying kill kamala think im dangerous shes trump amazingly good accidentally revealing things already told us kind person think rational conclude injury take sadly person real even could wrong corrupt politics could pretending person died,Negative,NEGATIVE
